Date;Service;Gare de départ;Gare d'arrivée;Durée moyenne du trajet;Nombre de circulations prévues;Nombre de trains annulés;Commentaire annulations;Nombre de trains en retard au départ;Retard moyen des trains en retard au départ;Retard moyen de tous les trains au départ;Commentaire retards au départ;Nombre de trains en retard à l'arrivée;Retard moyen des trains en retard à l'arrivée;Retard moyen de tous les trains à l'arrivée;Commentaire retards à l'arrivée;Nombre trains en retard > 15min;Retard moyen trains en retard > 15 (si liaison concurrencée par vol);Nombre trains en retard > 30min;Nombre trains en retard > 60min;Prct retard pour causes externes;Prct retard pour cause infrastructure;Prct retard pour cause gestion trafic;Prct retard pour cause matériel roulant;Prct retard pour cause gestion en gare et réutilisation de matériel;Prct retard pour cause prise en compte voyageurs (affluence, gestions PSH, correspondances)
2018-01;National;ANGERS SAINT LAUD;PARIS MONTPARNASSE;91;393;2;;204;6.400490196078434;3.4557544757033254;;77;24.274242424242427;6.072847399829495;;35;6.072847399829494;19;4;37.5;37.5;8.928571428571429;5.357142857142857;8.928571428571429;1.785714285714286
2018-01;National;LA ROCHELLE VILLE;PARIS MONTPARNASSE;165;222;0;;8;2.875;0.0957957957957958;;34;21.524019607843133;5.696096096096096;;22;5.696096096096098;5;0;15.384615384615383;30.76923076923077;38.46153846153846;11.538461538461538;3.8461538461538463;0.0
2018-01;National;PARIS MONTPARNASSE;ANGOULEME;126;239;4;;36;6.347685185185188;0.7515602836879431;;28;18.02202380952381;4.113191489361699;;15;4.1131914893617045;3;0;15.384615384615383;38.46153846153847;19.23076923076924;23.07692307692308;3.8461538461538463;0.0
2018-01;National;PARIS MONTPARNASSE;LAVAL;84;217;0;;32;11.609375;1.4557603686635965;;66;15.134343434343435;5.822811059907832;"Ce mois-ci. l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";16;5.822811059907836;5;2;24.24242424242424;54.54545454545454;3.03030303030303;12.12121212121212;3.03030303030303;3.03030303030303
2018-01;National;PARIS MONTPARNASSE;NANTES;124;508;3;;71;7.235211267605634;0.7342904290429042;;58;33.726436781609195;5.2922112211221135;;39;5.292211221122113;18;8;33.33333333333333;22.22222222222222;16.666666666666664;20.37037037037037;5.555555555555555;1.851851851851852
2018-01;National;PARIS MONTPARNASSE;ST PIERRE DES CORPS;61;391;2;;61;7.796994535519126;0.8868894601542417;;71;12.405164319248822;3.346486718080549;;17;3.3464867180805484;6;0;21.21212121212121;42.42424242424242;9.090909090909092;21.21212121212121;6.060606060606061;0.0
2018-01;National;PARIS MONTPARNASSE;TOULOUSE MATABIAU;257;182;1;;38;10.412280701754383;1.9587476979742164;;21;57.18095238095238;6.779558011049724;"Ce mois-ci. l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";21;6.779558011049724;17;7;47.61904761904762;28.571428571428577;0.0;19.04761904761905;4.761904761904763;0.0
2018-01;National;PARIS MONTPARNASSE;VANNES;152;253;1;;38;9.746929824561406;1.0550264550264548;;39;40.30769230769231;7.77281746031746;"Ce mois-ci. l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";27;7.742094861660079;16;8;25.64102564102565;38.46153846153846;12.820512820512825;17.94871794871795;0.0;5.128205128205128
2018-01;National;RENNES;PARIS MONTPARNASSE;99;599;4;;238;7.589985994397758;3.0667507002801115;;148;18.50022522522524;5.850420168067224;"Ce mois-ci. l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";51;5.840604026845635;16;6;20.23809523809524;35.714285714285715;17.857142857142858;16.666666666666668;4.761904761904763;4.761904761904763
2018-01;National;LILLE;LYON PART DIEU;190;292;8;;122;10.041120218579236;4.375234741784039;;36;56.15879629629631;7.582805164319241;;31;7.582805164319251;22;13;40.0;30.0;5.0;20.0;5.0;0.0
